rank,address,total_txs,closed_trades,win_rate,avg_pnl_pct,total_profit_usd,avg_buy_price,smart_score,discovered_inflow_btc,last_rotation,last_rotation_date
1,0xd85351181b3f264ee0fdfa94518464d7c3defada,365,61,65.6,4.9,133457503.0,2488.0,34.25,1000000.0,risk-on,2024-08-08
2,0x7938a8b179da31e125978dbdd76139ed722948cb,9,9,66.7,1.9,4371331.0,2995.0,33.89,448000.0,risk-on,2024-11-13
3,0xf7d69f05be89183a742e37e29d343ac0af7e6872,21,21,61.9,1.4,8641750.0,2733.0,31.36,659358.0,risk-on,2024-11-13
4,0x4c435b24002f4961956beb276b0eda776521ab53,641,532,53.8,1.0,26357744.0,4144.0,27.18,546430.0,risk-on,2026-01-05
5,0xfe35dfb17f226a61d1f8f318990e6d27944d6002,607,410,50.5,-0.0,50513826.0,2273.0,25.23,1571702.0,risk-on,2026-05-19
6,0xdeb3d637783fe892dab8e143c8d646a7567463f8,148,18,50.0,-0.4,1172217.0,2670.0,24.89,488042.0,risk-on,2025-03-12
7,0x1dffdb114e58baedbd25290a1efffa9fc3726d1f,201,45,48.9,-0.2,118388.0,2909.0,24.37,340359.0,risk-on,2026-07-13
8,0x5f6aad80b8ef9615af74fc7124b557cc2a298f00,120,81,43.2,-2.3,102613932.0,3094.0,20.91,808955.0,risk-off,2026-07-11
9,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,158,12,41.7,-1.9,75308.0,3494.0,20.27,757501.0,risk-off,2026-06-26
10,0xf9ca3da287a3ca16480976f5d03b46b03882534b,150,106,34.0,-2.5,14835032.0,3005.0,16.23,399879.0,risk-on,2026-02-10
